Day,Beta
1457,0.9671413
1458,0.971348532
1459,0.975752994
1460,0.980354197
1461,0.985151596
1462,0.990144894
1463,0.995333999
1464,1.000718765
1465,1.006299391
1466,1.012076303
1467,1.018049322
1468,1.024218433
1469,1.030583322
1470,1.037142888
1471,1.043895729
1472,1.050839573
1473,1.057971224
1474,1.065286852
1475,1.072780959
1476,1.080447882
1477,1.088280171
1478,1.096269667
1479,1.104407385
1480,1.112683281
1481,1.121086821
1482,1.129606679
1483,1.138231337
1484,1.146949112
1485,1.155747607
1486,1.164614707
1487,1.173538134
1488,1.18250607
1489,1.191506132
1490,1.200526521
1491,1.20955503
1492,1.21857968
1493,1.227587938
1494,1.236567482
1495,1.245505273
1496,1.254388139
1497,1.263202161
1498,1.271933347
1499,1.280566573
1500,1.289086863
1501,1.297478154
1502,1.305724233
1503,1.313808784
1504,1.321715534
1505,1.329427406
1506,1.336928025
1507,1.344201654
1508,1.351231754
1509,1.358003274
1510,1.364501551
1511,1.370712429
1512,1.37662226
1513,1.382219002
1514,1.387490526
1515,1.392426267
1516,1.397015423
1517,1.401249573
1518,1.405119434
1519,1.408617407
1520,1.411736503
1521,1.414470494
1522,1.416813046
1523,1.418759555
1524,1.420305312
1525,1.421446517
1526,1.422179863
1527,1.42250289
1528,1.422413304
1529,1.421909705
1530,1.420991629
1531,1.419659153
1532,1.417912737
1533,1.415754691
1534,1.413187221
1535,1.410213932
1536,1.40683955
1537,1.403069809
1538,1.398911774
1539,1.394373685
1540,1.389464945
1541,1.384196907
1542,1.378581524
1543,1.37263307
1544,1.366366819
1545,1.359800011
1546,1.352950603
1547,1.345839009
1548,1.338486478
1549,1.330915481
1550,1.323150501
1551,1.315216318
1552,1.307139382
1553,1.298946336
1554,1.290664792
1555,1.282322809
1556,1.273948133
1557,1.265569195
1558,1.25721328
1559,1.248907536
1560,1.240678072
1561,1.232549474
1562,1.224545181
1563,1.216686249
1564,1.208992437
1565,1.201480731
1566,1.194165736
1567,1.187059507
1568,1.180171892
1569,1.173509613
1570,1.167077512
1571,1.160877928
1572,1.15491116
1573,1.149175331
1574,1.143667608
1575,1.138382927
1576,1.133315742
1577,1.128458723
1578,1.123804376
1579,1.11934422
1580,1.115069091
1581,1.110969722
1582,1.107036203
1583,1.103258237
1584,1.099625632
1585,1.096127585
1586,1.09275344
1587,1.089491963
1588,1.086332202
1589,1.083263114
1590,1.080273405
1591,1.077352077
1592,1.074488193
1593,1.071670979
1594,1.068889514
1595,1.066134304
1596,1.063395172
1597,1.060662866
1598,1.05792883
1599,1.055184618
1600,1.052422717
1601,1.049636044
1602,1.046818003
1603,1.043962404
1604,1.041063443
1605,1.038116045
1606,1.035114706
1607,1.032054745
1608,1.028930947
1609,1.025738694
1610,1.022473045
1611,1.019128866
1612,1.015701599
1613,1.01218608
1614,1.008577421
1615,1.004870921
1616,1.001062103
1617,0.9971468
1618,0.993121728
1619,0.988983966
1620,0.984731518
1621,0.980363369
1622,0.975880086
1623,0.971283153
1624,0.966575816
1625,0.961762324
1626,0.956849001
1627,0.951843806
1628,0.946755528
1629,0.941594988
1630,0.936374187
1631,0.931105934
1632,0.925804093
1633,0.920483336
1634,0.915158153
1635,0.909843698
1636,0.904554218
1637,0.899303995
1638,0.894106418
1639,0.888973713
1640,0.883917265
1641,0.878946908
1642,0.874071255
1643,0.869297154
1644,0.864630297
1645,0.860074662
1646,0.8556327
1647,0.851305768
1648,0.847093716
1649,0.84299583
1650,0.839009896
1651,0.835133299
1652,0.831362791
1653,0.827694729
1654,0.824125774
1655,0.820652232
1656,0.817270897
1657,0.813979506
1658,0.810776003
1659,0.807659417
1660,0.8046299
1661,0.801688455
1662,0.798836872
