number,,,TEMP,,,HUM,,,TEMP
,,,Max,Avg,Min,,,,AVG
291,,17,76,66.1,54,86,58.1,38,18.94444444
292,,18,82,68,57,81,59.4,37,20
293,,19,76,65.8,58,90,75.3,52,18.77777778
294,,20,80,71,61,93,68.7,48,21.66666667
295,,21,85,74.7,63,90,65.2,44,23.72222222
296,,22,87,78.3,69,81,64.8,48,25.72222222
297,,23,75,72,63,96,83.1,64,22.22222222
298,,24,76,67.4,58,93,64.1,41,19.66666667
299,,25,74,66.8,57,86,67.4,49,19.33333333
300,,26,82,73.6,66,93,78.4,69,23.11111111
301,,27,84,73,68,100,85.5,54,22.77777778
302,,28,71,64.5,58,84,70,52,18.05555556
303,,29,74,63.4,53,93,72.9,48,17.44444444
304,,30,78,67,57,96,79.2,54,19.44444444
305,,31,80,70.3,60,97,71.3,47,21.27777778
