Day,Beta,temp
925,0.905642629,10.11
926,0.905399978,7.33
927,0.905119479,10.28
928,0.904800534,13.28
929,0.904442132,17.44
930,0.90404439,19.44
931,0.90360713,20.33
932,0.903130829,21.06
933,0.902616024,18.61
934,0.902063429,17.06
935,0.901474237,16.44
936,0.900849521,14.89
937,0.900191069,14.28
938,0.89950031,20.11
939,0.898779213,23.67
940,0.898029745,18.61
941,0.897253811,15.06
942,0.896453798,14.83
943,0.895631909,12.78
944,0.894790471,15.11
945,0.893931687,13.61
946,0.893058181,11.67
947,0.892171979,14.56
948,0.891275585,13.61
949,0.890371144,12.83
950,0.8894611,19
951,0.888547361,21.94
952,0.887632072,14.83
953,0.8867172,17.67
954,0.885804474,18.83
955,0.884895921,18.33
956,0.88399297,18
957,0.883097291,15.67
958,0.882210135,9.33
959,0.881333053,11.94
960,0.880467117,12.72
961,0.879613698,11.56
962,0.87877363,14.06
963,0.877947807,16.28
964,0.877137482,16.89
965,0.87634325,20.06
966,0.875565767,21.56
967,0.874806166,22.67
968,0.874064922,23.56
969,0.873342812,23.56
970,0.872640431,22.39
971,0.871958673,22.78
972,0.871298254,24.72
973,0.870660007,24.33
974,0.870044529,24.72
975,0.869452894,21.67
976,0.868885875,21.5
977,0.868344724,22.39
978,0.867830455,22.39
979,0.867344201,22.33
980,0.866887331,22.11
981,0.866461456,24.78
982,0.866067886,19.94
983,0.86570847,20.33
984,0.865384996,26
985,0.865099669,28.44
986,0.864854455,29
987,0.864651978,27.5
988,0.864494681,26.28
989,0.864385426,28.17
990,0.864327252,29.11
991,0.864323258,26.94
992,0.864377081,24.61
993,0.864492476,25.06
994,0.864673376,27
995,0.864924073,28.5
996,0.865249038,26.28
997,0.865653396,26.89
998,0.866141796,28.33
999,0.866720021,24.89
1000,0.867393732,28.78
1001,0.86816895,27.72
1002,0.869051695,24.28
1003,0.870048583,23.06
1004,0.871166348,20.06
1005,0.872411847,21.56
1006,0.873792291,22.11
1007,0.875314951,18.33
1008,0.876986861,17.5
1009,0.878815651,21.83
1010,0.880808234,22.06
1011,0.882971883,23.17
1012,0.885313749,22.56
1013,0.887840271,25.89
1014,0.890557587,23.78
1015,0.893471599,25.28
1016,0.896587253,27.94
1017,0.899909139,26.56
1018,0.903440654,24.11
1019,0.907184362,24.33
1020,0.911141634,23.72
1021,0.915312707,23.67
1022,0.919696808,25.89
1023,0.924290776,27
1024,0.929091096,26.39
1025,0.934092045,24.83
1026,0.939286232,29.78
1027,0.944664836,25.39
1028,0.950217128,28.83
1029,0.95593071,27.83
1030,0.961791933,25.17
1031,0.967784882,26.33
1032,0.973892808,26.56
1033,0.980097175,26
1034,0.986378551,23.78
1035,0.992716372,22.61
1036,0.99908936,22.89
1037,1.005475044,25.83
1038,1.011851549,25.33
1039,1.018196106,25.17
1040,1.024486303,25.17
1041,1.030699849,25.06
1042,1.036815405,23.39
1043,1.042812109,23.17
1044,1.048670053,24.17
1045,1.054370642,26.5
1046,1.05989635,26.56
1047,1.065231681,28.89
1048,1.07036221,26.56
1049,1.075275421,24.56
1050,1.079960346,21.72
1051,1.084408045,23.33
1052,1.088611126,24.78
1053,1.092564106,24.33
1054,1.09626317,26.78
1055,1.099706292,25.56
1056,1.102892637,23.83
1057,1.105823398,20.22
1058,1.108500719,17.17
1059,1.110928297,22.67
1060,1.113111138,25.78
1061,1.115054965,25.17
1062,1.116766453,24.33
1063,1.11825335,26.72
1064,1.119524121,25.94
1065,1.12058723,27.11
1066,1.121452451,23.28
1067,1.122129083,23.61
1068,1.122627258,20.5
1069,1.122956872,19.61
1070,1.123128295,20.33
1071,1.123151541,22.94
1072,1.123036623,27.28
1073,1.122793198,28.67
1074,1.122431278,28
1075,1.121959805,24.11
1076,1.121388316,22.56
1077,1.120725155,20.89
1078,1.119979024,18.78
1079,1.119157553,20.78
1080,1.118268371,23.94
1081,1.11731863,22.83
1082,1.116315126,23.89
1083,1.115263939,22.56
1084,1.114171028,21.94
1085,1.113041759,20.11
1086,1.111881018,23.06
1087,1.110693932,26.61
1088,1.109484196,25.72
1089,1.108255863,24.67
1090,1.10701263,24.78
1091,1.105757713,23.44
1092,1.104494095,25.56
1093,1.103224516,17.5
1094,1.101951122,17.83
1095,1.100676775,14.83
1096,1.099403024,15.72
1097,1.098132014,17
1098,1.096865535,17.72
1099,1.095605016,16.56
1100,1.094352126,14.89
1101,1.093108058,20.44
1102,1.091874599,22.67
1103,1.090652466,22.56
1104,1.089443207,15.61
1105,1.088248014,13
1106,1.087067962,15.28
1107,1.085904121,17.22
1108,1.084757686,19.89
1109,1.083629608,16.17
1110,1.082521081,10.28
1111,1.081433296,13.94
1112,1.080367208,19.78
1113,1.079324007,22.56
1114,1.078304648,25.39
1115,1.077310324,22.94
1116,1.076342344,15.89
1117,1.075401664,13.22
1118,1.074489474,8.33
1119,1.073606968,10.22
1120,1.072755456,17.06
1121,1.071936131,12.11
1122,1.071150184,12.22
1123,1.070398927,14.94
1124,1.06968379,10.39
1125,1.069005966,15.67
1126,1.068366766,22.17
1127,1.067767859,15.89
1128,1.067210436,14.72
1129,1.066696048,22.33
1130,1.066226125,19.67
1131,1.065802217,16.61
1132,1.065425873,11.17
1133,1.065098524,11.72
1134,1.06482172,11.5
1135,1.064597249,13.06
1136,1.064426541,13.78
1137,1.064311028,8
1138,1.064252615,9.67
1139,1.064252734,9.72
1140,1.064312935,4.89
1141,1.064434648,6.94
1142,1.06461978,11.33
1143,1.064869404,9.06
